node1,node2,weight
1,2,0.9
1,3,0.8
1,4,1
1,5,0.7
1,6,0.9
1,7,0.95
1,8,0.85
1,9,0.6
1,10,0.85
1,13,0.65
1,15,0.55
1,17,0.95
1,19,0.8
1,20,0.6
1,21,0.8
1,23,0.8
1,29,0.7
1,31,0.6
1,32,0.55
1,33,0.85
1,34,0.55
1,35,0.7
1,36,0.65
1,39,0.9
1,41,0.9
1,47,0.65
1,51,0.55
1,54,0.55
1,56,0.6
1,57,0.8
1,60,0.9
1,61,0.75
1,62,0.25
1,64,0.65
1,68,0.6
1,71,0.55
1,74,0.55
1,76,0.6
1,78,0.55
1,80,0.6
1,81,0.55
1,101,0.55
1,104,0.55
1,109,0.55
1,110,0.55
1,111,0.6
1,114,0.6
1,115,0.55
1,119,0.55
1,120,0.65
1,125,0.6
1,132,0.55
1,134,0.65
1,135,0.7
1,138,0.55
1,139,0.6
1,141,0.55
1,143,0.75
1,144,0.75
1,145,0.55
1,159,0.6
1,165,0.55
1,171,0.6
1,178,0.85
1,180,0.55
1,192,0.65
1,197,0.9
1,202,0.55
1,215,0.55
1,219,0.65
1,223,0.85
1,225,0.55
1,227,0.55
1,234,0.55
1,245,0.55
1,247,0.55
1,251,0.6
1,260,0.55
1,261,0.55
1,266,0.55
1,270,0.75
1,271,0.55
1,274,0.55
1,296,0.55
1,304,0.65
1,308,0.65
1,309,0.6
1,311,0.55
1,312,0.55
1,320,0.65
1,324,0.55
1,330,0.75
1,350,0.55
1,353,0.75
1,356,0.55
1,384,0.55
1,396,0.7
1,399,0.55
1,416,0.55
1,421,0.6
1,431,0.55
1,438,0.55
1,442,0.55
1,464,0.55
1,481,0.55
1,486,0.55
1,492,0.55
1,494,0.55
1,505,0.55
1,511,0.55
1,522,0.6
1,534,0.75
1,537,0.55
1,539,0.55
1,540,0.55
1,545,0.55
1,563,0.55
1,567,0.55
1,569,0.55
1,579,0.55
1,592,0.65
1,630,0.6
1,635,0.65
1,647,0.6
1,672,0.25
1,677,0.55
1,695,0.55
1,703,0.55
1,729,0.6
1,773,0.55
1,779,0.55
1,823,0.65
1,861,0.55
1,882,0.55
1,905,0.25
1,1010,0.6
1,1053,0.6
1,1134,0.55
1,1201,0.9
1,1217,0.55
1,1245,0.55
1,1281,0.55
1,1316,0.75
1,1317,0.75
1,1318,0.6
1,1352,0.65
1,1353,0.6
1,1363,0.8
1,1366,0.65
1,1369,0.55
1,1383,0
1,1386,0.75
1,1396,0.7
1,1447,0.55
1,1487,0.6
1,1508,0.55
1,1541,0.65
1,1555,0.55
1,1557,0.55
1,1565,0.65
1,1566,0.6
1,1585,0.6
1,1615,0.95
1,1620,0.7
1,1656,0.8
1,1693,0.6
1,1701,0.75
1,1714,0.6
1,1727,0.55
1,1749,0.55
1,1753,0
1,1771,0
1,1802,0.55
1,1810,0.65
1,1815,0.6
1,1860,0.55
1,1899,0.55
1,1921,0.55
1,1944,0.6
1,1953,0.6
1,2034,0.55
1,2045,0.55
1,2046,0.7
1,2067,0.55
1,2096,0
1,2123,0.65
1,2124,0.55
1,2125,0.75
1,2142,0.65
1,2175,0.55
1,2266,0.55
1,2303,0.55
1,2322,0.6
1,2341,0.55
1,2388,0.55
1,2410,0
1,2455,0.55
1,2471,0
1,2484,0.55
1,2642,0.55
1,2761,0.55
1,3319,0.55
1,3417,0.6
1,3527,0.6
1,3719,0.55
1,3919,0.55
1,4172,0.55
1,4291,0.6
1,4458,0.55
1,4559,0.55
1,4857,0.6
1,4921,0.6
1,5418,0.6
1,5689,0.6
1,5925,0.6
2,1,0.9
2,3,0.9
2,4,0.75
2,6,0.75
2,7,0.75
2,13,0.55
2,20,0.75
2,21,0.75
2,23,0.75
2,39,0.9
2,41,0.6
2,54,0.6
2,60,0.75
2,62,0.9
2,77,0.6
2,110,0.55
2,132,0.6
2,135,0.6
2,142,0.55
2,149,0.55
2,156,0.55
2,166,0.55
2,167,0.9
2,178,0.65
2,198,0.75
2,202,0.6
2,204,0.45
2,223,0.9
2,245,0.9
2,401,0.6
2,455,0.55
2,516,0.55
2,632,0.55
2,634,0.55
2,651,0.6
2,654,0.65
2,658,0.55
2,732,0.55
2,744,0.55
2,758,0.55
2,779,0.55
2,832,0
2,1363,0.9
2,3397,0.75
2,5929,0.9
4,1,1
4,2,0.8
4,3,0.85
4,6,0.75
4,7,0.85
4,13,0.9
4,17,0.65
4,19,0.8
4,26,0.55
4,31,0.55
4,35,0.75
4,39,0.55
4,41,0.55
4,45,0.8
4,57,0.75
4,61,0.6
4,62,0.85
4,66,0.6
4,72,0.7
4,87,0.55
4,125,0.6
4,189,0.55
4,202,0.9
4,282,0.6
4,304,0.75
4,319,0.75
4,352,0.6
4,423,0.1
4,425,0.75
4,455,0.6
4,466,0.55
4,492,0.7
4,522,0.55
4,537,0.55
4,538,0.6
4,540,0.55
4,592,0.55
4,713,0
4,832,0
4,908,0.75
4,935,0.7
4,1201,0.9
4,1246,0.85
4,1257,0.75
4,1352,0.65
4,1366,0.6
4,1386,0.6
4,1566,0.55
4,1656,0.65
4,1664,0.55
4,1899,0.55
4,1984,0.65
4,1992,0.55
4,2145,0.6
4,2173,0.6
4,2198,0.65
4,2344,0.55
4,2470,0.6
4,2998,0.55
4,3699,0.55
4,4852,0.65
4,5014,0.9
4,5498,0.65
5,1,0.65
5,6,0.65
5,7,0.55
6,1,0.9
6,2,0.7
6,4,0.6
6,5,0.6
6,7,0.75
6,10,0.65
6,32,0.55
6,35,0.7
6,114,0.6
6,173,0.65
6,198,0.6
6,219,0.7
6,258,0.55
6,268,0.65
6,280,0.55
6,384,0.8
6,521,0.55
6,537,0.75
6,550,0.55
6,664,0.55
6,687,0.55
6,856,0.9
6,937,0.55
6,1018,0.55
6,1317,0.6
6,1331,0
6,1363,0.9
6,1383,0
6,1386,0.65
6,1566,0.55
6,1624,0.65
6,1752,0.75
6,1810,0.65
6,1832,0.55
6,2028,0.55
6,2034,0.55
6,2187,0.75
6,2188,0.95
6,2455,0.55
6,2642,0.7
7,1,0.85
7,2,0.75
7,3,0.8
7,4,0.7
7,5,0.55
7,6,0.65
7,13,0.55
7,17,0.8
7,19,0.75
7,20,0.7
7,21,0.75
7,23,0.7
7,28,0.6
7,29,0.6
7,33,0.6
7,34,0.55
7,35,0.6
7,36,0.65
7,39,0.75
7,41,0.75
7,47,0.55
7,53,0.7
7,54,0.75
7,55,0.55
7,56,0.65
7,57,0.7
7,60,0.75
7,62,0.8
7,64,0.75
7,68,0.65
7,72,0.6
7,76,0.55
7,78,0.55
7,80,0.65
7,88,0.75
7,89,0.6
7,96,0.55
7,100,0.6
7,108,0.55
7,109,0.55
7,110,0.65
7,111,0.55
7,113,0.75
7,116,0.6
7,120,0.75
7,122,0.55
7,125,0.65
7,129,0.7
7,132,0.75
7,133,0.55
7,134,0.65
7,135,0.6
7,137,0.55
7,141,0.6
7,142,0.65
7,143,0.7
7,144,0.55
7,152,0.6
7,153,0.6
7,155,0.7
7,156,0.55
7,159,0.55
7,161,0.65
7,166,0.55
7,171,0.7
7,175,0.6
7,179,0.45
7,184,0.6
7,185,0.55
7,188,0.55
7,193,0.65
7,195,0.55
7,198,0.65
7,200,0.6
7,202,0.7
7,203,0.65
7,204,0.55
7,206,0.6
7,207,0.65
7,209,0.6
7,210,0.55
7,212,0.55
7,215,0.75
7,219,0.55
7,222,0.65
7,228,0.55
7,232,0.65
7,235,0.75
7,240,0.6
7,243,0.7
7,249,0.55
7,254,0.55
7,260,0.7
7,266,0.6
7,269,0.55
7,270,0.75
7,272,0.6
7,280,0.6
7,283,0.65
7,285,0.55
7,293,0.6
7,294,0.55
7,296,0.7
7,304,0.65
7,310,0.45
7,314,0.6
7,322,0.7
7,326,0.55
7,330,0.75
7,345,0.6
7,351,0.65
7,354,0.55
7,358,0.65
7,361,0.6
7,365,0.55
7,368,0.55
7,378,0.55
7,383,0.55
7,386,0.6
7,393,0.55
7,405,0.6
7,410,0.45
7,417,0.75
7,418,0.6
7,419,0.65
7,424,0.6
7,425,0.65
7,429,0.55
7,440,0.6
7,447,0.65
7,449,0.55
7,460,0.6
7,465,0.65
7,472,0.45
7,473,0.55
7,480,0.55
7,481,0.55
7,484,0.6
7,489,0.55
7,494,0.7
7,498,0.6
7,522,0.6
7,533,0.6
7,537,0.7
7,538,0.55
7,540,0.65
7,545,0.55
7,547,0.6
7,548,0.6
7,551,0.6
7,579,0.7
7,584,0.55
7,593,0.7
7,616,0.55
7,620,0.55
7,621,0.6
7,639,0.7
7,640,0.65
7,643,0.65
7,650,0.6
7,655,0.7
7,656,0.55
7,666,0.6
7,709,0.65
7,725,0.65
7,733,0.6
7,753,0.6
7,792,0.55
7,838,0.65
7,878,0.6
7,881,0.6
7,882,0.7
7,892,0.65
7,905,0.65
7,906,0
7,931,0.6
7,935,0.7
7,945,0.65
7,948,0.6
7,963,0.55
7,964,0.65
7,1011,0.6
7,1034,0.6
7,1041,0.6
7,1053,0.75
7,1098,0.8
7,1166,0.6
7,1204,0.55
7,1223,0.6
7,1268,0.45
7,1281,0.55
7,1316,0.6
7,1317,0.7
7,1318,0.6
7,1334,0.55
7,1335,0.55
7,1386,0.6
7,1413,0.55
7,1428,0.55
7,1487,0.25
7,1525,0.7
7,1555,0.55
7,1596,0.55
7,1629,0.55
7,1664,0.55
7,1665,0.55
7,1686,0.6
7,1702,0.55
7,1788,0.55
7,1858,0.55
7,1899,0.65
7,1982,0.6
7,2028,0.65
7,2044,0.55
7,2046,0.6
7,2097,0.55
7,2174,0.55
7,2205,0.55
7,2231,0.55
7,2319,0.6
7,2378,0.55
7,2388,0.6
7,2397,0.7
7,2404,0.55
7,2533,0.55
7,2943,0.55
7,3050,0.55
7,3161,0.55
7,4946,0.55
7,5428,0.6
7,5429,0.55
7,5432,0.55
8,1,0.65
9,1,1
10,1,0.9
10,2,0.85
10,3,0.85
10,6,0.85
10,8,0.55
10,21,0.9
10,25,1
10,41,0.9
13,1,0.9
13,2,0.6
13,4,0.9
13,6,0.45
13,7,0.55
13,10,0.9
13,16,0.9
13,17,0.6
13,25,1
13,29,0.6
13,34,0.55
13,35,0.65
13,41,0.7
13,54,0.6
13,56,0.55
13,96,0.55
13,104,0.65
13,120,0.6
13,135,0.75
13,156,0.55
13,159,0.55
13,160,0.6
13,199,0.55
13,200,0.55
13,270,0.55
13,308,0.55
13,342,0.6
13,350,0.6
13,353,0.8
13,425,0.6
13,468,0.55
13,491,0.65
13,492,0.55
13,493,0.65
13,516,0.55
13,518,0.55
13,522,0.55
13,537,0.55
13,540,0.65
13,546,0.6
13,579,0.55
13,591,0.6
13,592,0.6
13,593,0.6
13,594,0.55
13,605,0.55
13,606,0.45
13,612,0.55
13,616,0.6
13,619,0.55
13,620,0.55
13,621,0.55
13,634,0.55
13,635,0.6
13,647,0.6
13,654,0.55
13,687,0.55
13,699,0.55
13,705,0.4
13,710,0.55
13,732,0.6
13,741,0.55
13,742,0.55
13,744,0.55
13,751,0.55
13,765,0.55
13,775,0.55
13,791,0.55
13,832,0
13,862,0.55
13,882,0.55
13,887,0.55
13,905,0.65
13,910,0.55
13,1044,0.8
13,1053,0.6
13,1128,0.55
13,1204,0.6
13,1222,0.55
13,1223,0.55
13,1226,0.55
13,1245,0.55
13,1281,0.45
13,1317,0.65
13,1334,0.75
13,1352,0
13,1366,0.55
13,1394,0.55
13,1396,0.65
13,1412,0.55
13,1527,0.55
13,1533,0.55
13,1537,0.55
13,1555,0.7
13,1565,0.6
13,1585,0.55
13,1593,0.55
13,1629,0.55
13,1656,0.65
13,1675,0.65
13,1677,0.65
13,1744,0.55
13,1753,0.25
13,1754,0.55
13,1757,0.6
13,1771,0.45
13,1788,0.6
13,1794,0.55
13,1815,0.55
13,1832,0.55
13,1833,0.55
13,1860,0.7
13,1886,0.55
13,1890,0.6
13,1899,0.65
13,1902,0.55
13,1909,0.55
13,1910,0.6
13,1916,0.6
13,1921,0.75
13,1922,0.55
13,1923,0.55
13,1937,0.55
13,1967,0.65
13,1986,0.55
13,1990,0.65
13,1991,0.65
13,1998,0.6
13,2006,0.6
13,2011,0.55
13,2016,0.55
13,2028,0.35
